Title,Url,Company,Location,Salary,Easy Apply
"Data Analyst–Full-time Temporary (up to August 31, 2021, with possibility of extension)",https://ca.indeed.com/rc/clk?jk=6721eea2d3c1697f&fccid=0680fbf9352f02e0&vjs=3,"
Public Health Sudbury & Districts","Greater Sudbury, ON","
$37.99 - $44.67 an hour",
Analyst,https://ca.indeed.com/rc/clk?jk=c2c222261eddd933&fccid=367ae0b0728910f4&vjs=3,"
McGill University","Montréal, QC","
$63,140 - $94,700 a year",
SAP Master Data Analyst,https://ca.indeed.com/rc/clk?jk=a22d6b092ca894c9&fccid=e261623f66903aa7&vjs=3,,"Tiverton, ON",,
DATA ANALYST/STATISTICIAN,https://ca.indeed.com/rc/clk?jk=5d7e72a57ea183c0&fccid=4ae40a4fd3b9e3bb&vjs=3,"
Universite Concordia","Montréal, QC","
$72,784 - $86,940 a year",
KPI BI Analyst,https://ca.indeed.com/rc/clk?jk=6032f99cc5f6c1f8&fccid=48799281cc1122e3&vjs=3,,"Winnipeg, MB",,
Business Analyst,https://ca.indeed.com/rc/clk?jk=e64716c1e2b7009f&fccid=ac38a400acc8fe73&vjs=3,"
NTT ","Winnipeg, MB",,
Data Analyst Health Surveillance - BC Centre for Disease Control,https://ca.indeed.com/rc/clk?jk=a51a1a85eac57f47&fccid=f66f721a44de3765&vjs=3,"
PHSA","Vancouver, BC","
$35.70 - $37.74 an hour",
Research & Data Design Analyst,https://ca.indeed.com/rc/clk?jk=402d810c3210bf97&fccid=4fac8d665ce49365&vjs=3,"
City of Calgary","Calgary, AB","
$35.96 - $48.11 an hour",
Computer Programmer/Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AgGLw_amVWwdTQfWqiUWjsTdqIyRmAvKGKo_ZNLKJBXCOjKyIVzVANBHVULvSJ_kCjYTdvT-ZOBWk_IQdcWzCrGk0wlSMSzR51-IXxV4epEq6CkLOB-hxrHlk9nuVGMA28zqcyb-Vz8PCceojyL22dt67X6Qs1MN0BnyfkWIJg7JbQ1-6UOAGNESTkQBgv-FMHWhoX3rmC2HwSDUeEIIELt_sJqdWMCZO5oIeieWeIZgkPPHce2Ybw2CX9JE2O3Uk1cheaw6_aBp2gTjF9LNm7NEVWm8gnEzTEXCB_thTgRoiuyD9I-xgbuNv5xYgUN8meyA6KmwCeYThU7CRMSdRBncZva0DifoQJCOiJHuUhrfzm2NevRacmgrLggU5FBFV_r8tWuEDd3YkIYvWv0iujm9Vf4D4Y-OZhvDs5kKuou1bPdVoICdpz5noCQ34BY3WHcGSsSqqGvQ==&p=13&fvj=1&vjs=3,"
Labrador-Grenfell Health",Canada,"
$30.43 - $33.95 an hour",
Data Analyst,https://ca.indeed.com/rc/clk?jk=3c6941108ba1a044&fccid=9645047fb7b1d4e3&vjs=3,"
SickKids","Toronto, ON",,
Junior Data Analyst,https://ca.indeed.com/rc/clk?jk=0d39670d970efa20&fccid=51a517bd1ec66158&vjs=3,"
GroupHEALTH Benefit Solutions","Surrey, BC",,
Data Analyst - Fraud Detection,https://ca.indeed.com/rc/clk?jk=aecad2500c587a76&fccid=6f250882b448d8bc&vjs=3,"
MindGeek Careers","Montréal, QC",,
Siebel Data Analyst,https://ca.indeed.com/rc/clk?jk=11dcb44eedf5733f&fccid=c5c99ec01e2125aa&vjs=3,"
General Electric","Mississauga, ON",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=13a0b4f833a4f553&fccid=0d7dedd7c3e2fd12&vjs=3,"
Rothesay Netherwood School","Rothesay, NB",,
Integration and Data Analyst Parian,https://ca.indeed.com/rc/clk?jk=d49c6b6a6a6dc8ce&fccid=268960810ebecabd&vjs=3,"
Parian Logistics","Winnipeg, MB",,
Senior Data Analyst,https://ca.indeed.com/rc/clk?jk=1ed3edc3bdcf2de0&fccid=10b5c722d846df43&vjs=3,"
MasterCard","Vancouver, BC",,
Junior Analyst & Inventory Manager,https://ca.indeed.com/company/Tanzacan/jobs/Junior-Analyst-Inventory-Manager-98770233e0b0b409?fccid=61d8eae5784d0b4d&vjs=3,,"Markham, ON","
$30,000 - $36,000 a year",
Logistics Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRuIYpQVIGPNIsttW2YIHiaz2TcgBIwKXfnGtrqPJexB9VJZ65bEzBC1e8fUx6XIA_tGCHnQxOyPL3_4pLZySokBG80DkACj-k7PIWSg7DebCXBz79CAijwUQ1tcM05-x4wJYOWZGCKNWS-79QhyGrzvdDfzV06nYTsj9w0PICy0Tc6aYfbCIAzQ_C5Fp0uNwFvvvabBKRHGDHYSJzThDD2IPV2w5_SEbpvrH-5k4etZhfSUX6ojT_BzXW_nRu_8Tteo4cryzwdiDfLVhFR4O2DuUeCvPY5qJYox6oNTmlY2nOTVpVx-m5Pf8M8MedSyAKyYRv5Or4aIznX0_SjrO1Xubl8AZbqHFbiS7Bui91iSkAL3kkNJI41fhWIxQ5WkDdy-s_YZXGcuUL69-i7HR9lkvLbFzsrnao_pp4euY3wOQNtxyK0gKX-7XnKJihPXEmUSvdxX4g931QTOzLK1UghL-FZMTsDdNnHJvR1JgnVw==&p=7&fvj=0&vjs=3,"
Rio Tinto","Yellowknife, NT",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=26d47fee690df6d4&fccid=7994ccfd8fca3118&vjs=3,,"Vancouver, BC",,
Data Analyst (w/SQL),https://ca.indeed.com/rc/clk?jk=244e0fc80c1af441&fccid=e6d683aa9f2c173a&vjs=3,,Ontario,,
database analyst,https://ca.indeed.com/rc/clk?jk=74ec7f6b96ff35bf&fccid=cade3a2be484b0a7&vjs=3,,"Halifax, NS","
$31 an hour",
Technical Analyst,https://ca.indeed.com/rc/clk?jk=9fe949ccc762c9dd&fccid=84928e77c488cf4e&vjs=3,"
Manitoba Government","Winnipeg, MB","
$60,824 - $78,716 a year",
Data Analyst / Analyste de données,https://ca.indeed.com/rc/clk?jk=e108559061c5ef91&fccid=991785303e768c5d&vjs=3,"
Tecsys","Westmount, QC",,
Data Analyst,https://ca.indeed.com/company/Modern-Scientist-Global/jobs/Data-Analyst-8d3a223cbab0267b?fccid=b40fb9f51752c5ad&vjs=3,,"Toronto, ON",,
"Analyst, Meter Data Management",https://ca.indeed.com/rc/clk?jk=a6e2ad816986cd96&fccid=1a5d0d289be83a07&vjs=3,"
IESO",Canada,,
Senior Business Data Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmgyhhgzTPmlU2ltoOFrvmMnWna8IhpI58mrlYciiJsY1ntjgYFQfh8eVlOw_x3Mx8JiaVcfl0LXZ9dqmQa5zIyHp5AWF7e7GGefeAJzjZYqgX8NGajGQPAkdhSBVLzUPA9gu9QO2vfoGCemA-2J0VqLoXyB6mjIb7ri1kQS2mJmuU6KXDj-2jkZNry1ltNahgqdIK-CMLI3L5lvhel9W5ISO6H6kOP9MVDGwvmuiSuT9PM4cNRm2lX3jLsJIOTDhzJDe8Rhkxy-_yp8lnMmIi7KOz_LwwbQ7adUL9SIx_KCKF-i3GNxGy0v4yIaDdHJgWMetoB4dGS7SeA1oIe2uC7WqJKDu2z51eaFo3l40SAq8W7XxkXWWnB8hB38YziZCeOKTD9MY-b2P6QTkIVYv03wa-PiIuWZjwOsArlMQqmyEWJcbB1WjUfpuJV-4opHlKwPvVbitS9Q==&p=0&fvj=1&vjs=3,,New Brunswick,"
$60,000 a year",
Logistics Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRuIYpQVIGPNIsttW2YIHiaz2TcgBIwKXfnGtrqPJexB9VJZ65bEzBC1e8fUx6XIA_tGCHnQxOyPL3_4pLZySokBG80DkACj-k7PIWSg7DebCXBz79CAijwUQ1tcM05-x4wJYOWZGCKNWS-79QhyGrzvdDfzV06na2KjBcFJmv349Uyi6m87NHykyyVYrUm_UdVyz71GLeXHz8ydbJV2IoUB6SZHvEu5gEgUPlLH4biJlYGBK2SpjCzXPMQ_4vH9ZrpHWFW5uzMx3QGpLpciqyCyNohTEbochvLMNDtYQhv1rKe1BecyIZgdTNPyyM8AHGSzvEZa29gLTgt7aybZuKXSIT5LFlEVknd-WHGnIu1wkE8Ti3WzuYaZqOZjijhwJbM7Z-C8DJ5np8dnHtx4baAPp0WFCMMq1qkxqKOuNDUsqqXk3J_DKp3r_7Kk7dVqlkDhZC7C35TdVTccovusBTPxmL2OhTftZk053W8TKbbg==&p=1&fvj=0&vjs=3,"
Rio Tinto","Yellowknife, NT",,
12201 IT Business Analyst (Contract),https://ca.indeed.com/rc/clk?jk=81690a137dcb30df&fccid=69247daab4a84a92&vjs=3,"
Insight Enterprises, Inc.","Winnipeg, MB",,
Business Analyst,https://ca.indeed.com/company/Cleo-Fashions-Inc./jobs/Business-Analyst-6cd7f90434597c03?fccid=ea0d0509095d4992&vjs=3,,"Winnipeg, MB","
$37 - $85 an hour",
Administration & Data Analyst,https://ca.indeed.com/company/Contour-Logistics/jobs/Administration-Data-Analyst-ac6ccc2d67614911?fccid=8dfb9ec3779e3a04&vjs=3,,"Markham, ON",,
Application Support Analyst,https://ca.indeed.com/rc/clk?jk=4cc31e0dda9fd5d7&fccid=32e135964a3d9c32&vjs=3,"
People Corporation","Winnipeg, MB",,
"Investor Relations Analyst, ESG & Data",https://ca.indeed.com/rc/clk?jk=f65b7e2e93a9ea22&fccid=c908408e676247d6&vjs=3,"
opentext",Remote,,
"Business Intelligence, Data Analytics & Insights",https://ca.indeed.com/rc/clk?jk=95e1c444be8750f2&fccid=412e8fed3106e02e&vjs=3,"
BRP","Valcourt, QC",,
